"","Dmgm","TID","trt","EID","date"
"1",14.3,21,"amb",18,"6/2/2015"
"2",6.9,21,"amb",3,"6/2/2015"
"3",2.6,21,"amb",12,"6/2/2015"
"4",5.8,21,"amb",8,"6/2/2015"
"5",218.9,30,"amb",12,"6/17/2015"
"6",36.4,30,"amb",3,"6/17/2015"
"7",231.8,30,"amb",8,"6/17/2015"
"8",40.3,30,"amb",18,"6/17/2015"
"9",662.3,34,"amb",8,"7/1/2015"
"10",633.6,34,"amb",18,"7/1/2015"
"11",241.3,34,"amb",3,"7/1/2015"
"12",511.9,34,"amb",12,"7/1/2015"
"13",43.7,21,"both",19,"6/2/2015"
"14",35.3,21,"both",14,"6/2/2015"
"15",36.6,21,"both",6,"6/2/2015"
"16",32.2,21,"both",7,"6/2/2015"
"17",1385.5,30,"both",6,"6/17/2015"
"18",1266.2,30,"both",14,"6/17/2015"
"19",1301.6,30,"both",7,"6/17/2015"
"20",882.1,30,"both",19,"6/17/2015"
"21",466.3,34,"both",19,"7/1/2015"
"22",1812.6,34,"both",14,"7/1/2015"
"23",4327.5,34,"both",7,"7/1/2015"
"24",1281.8,34,"both",6,"7/1/2015"
"25",12.8,21,"fishless",9,"6/2/2015"
"26",17,21,"fishless",5,"6/2/2015"
"27",131.3,21,"fishless",17,"6/2/2015"
"28",20.5,21,"fishless",2,"6/2/2015"
"29",7259.6,30,"fishless",17,"6/17/2015"
"30",1834,30,"fishless",5,"6/17/2015"
"31",8010.1,30,"fishless",9,"6/17/2015"
"32",3751.7,30,"fishless",2,"6/17/2015"
"33",2159.9,34,"fishless",17,"7/1/2015"
"34",1586.2,34,"fishless",5,"7/1/2015"
"35",2098.2,34,"fishless",9,"7/1/2015"
"36",1388.8,34,"fishless",2,"7/1/2015"
"37",14.3,21,"green",10,"6/2/2015"
"38",20.2,21,"green",13,"6/2/2015"
"39",16.6,21,"green",20,"6/2/2015"
"40",68.2,21,"green",15,"6/2/2015"
"41",4233.6,30,"green",10,"6/17/2015"
"42",2444.6,30,"green",13,"6/17/2015"
"43",2952.7,30,"green",15,"6/17/2015"
"44",4702.1,30,"green",20,"6/17/2015"
"45",5618.2,34,"green",20,"7/1/2015"
"46",4300.3,34,"green",15,"7/1/2015"
"47",8439.2,34,"green",13,"7/1/2015"
"48",4806.4,34,"green",10,"7/1/2015"
"49",55.8,21,"cagectrl",21,"6/2/2015"
"50",9.4,21,"cagectrl",24,"6/2/2015"
"51",0.3,21,"cagectrl",22,"6/2/2015"
"52",27.9,21,"cagectrl",23,"6/2/2015"
"53",143.1,30,"cagectrl",23,"6/17/2015"
"54",73.3,30,"cagectrl",24,"6/17/2015"
"55",215,30,"cagectrl",22,"6/17/2015"
"56",60.2,30,"cagectrl",21,"6/17/2015"
"57",174.1,34,"cagectrl",24,"7/1/2015"
"58",328.5,34,"cagectrl",21,"7/1/2015"
"59",681.1,34,"cagectrl",22,"7/1/2015"
"60",484.7,34,"cagectrl",23,"7/1/2015"
"61",85.5,21,"buffalo",16,"6/2/2015"
"62",7.6,21,"buffalo",4,"6/2/2015"
"63",167,21,"buffalo",11,"6/2/2015"
"64",23.9,21,"buffalo",1,"6/2/2015"
"65",115.5,30,"buffalo",16,"6/17/2015"
"66",328.1,30,"buffalo",1,"6/17/2015"
"67",142.5,30,"buffalo",11,"6/17/2015"
"68",168.8,30,"buffalo",4,"6/17/2015"
"69",610.9,34,"buffalo",4,"7/1/2015"
"70",83,34,"buffalo",11,"7/1/2015"
"71",934.1,34,"buffalo",1,"7/1/2015"
"72",293.9,34,"buffalo",16,"7/1/2015"
